EMPRESA;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
LIGHT;19,59;16,97;18,19;24,05;16,6;15,14;10,39;6,89;7,06;10,05;8,74;8,3;8,77;7,99;9,09;11,06;14,03;11,33;16,73;18,15;18,7;12,35;12,61;11,7;9,14;7,78
RGE;;;;;30;22,24;17,12;10,34;20,07;24,74;25,54;23,87;26,08;19,92;17,03;15,43;14,43;14,71;15,08;14,33;17,35;18,77;15,98;14,44;14,17;13,43
RGE SUL;;;;;23,13;17,53;18,22;24,45;20,42;19,75;18,94;14,08;21;17,31;20,57;19,51;20,78;18,02;15,35;14,11;14,08;17,75;19,11;19,45;15,58;15,56
;;;;;;;;;;;;;;;;;;;;;;;;;;
CEA;;;;;;;;;;;;;;;;;48,14;72,84;59,87;66,27;70,42;65,86;85,37;75,43;44,84;38,28
CHESP;43,5;123,52;37,9;23,48;39,26;30,91;36,26;34,85;17,8;16,54;16,3;17,05;21,77;17,3;17,96;18,97;17,01;11,92;15,59;16,5;27,86;14,12;14,8;12,59;8,18;11,99
CPFL JAGUARI;;;;;;;;;;;;;;;;;6,45;9,24;7;4,48;5,92;5,41;6,93;7,1;6,3;
CPFL LESTE;24,66;16,79;11,54;10,11;11,46;8,75;12,4;7,78;5,38;12,71;5,46;6,34;11,07;7,99;6,82;8,73;11,3;8,28;9,41;8,26;7,58;8,48;7,92;8,01;7,92;
CPFL MOCOCA;;;;;;;;;;;;;;;;;8,78;4,59;5,96;5,82;4,86;6,88;7,05;10,55;5,93;
CPFL SANTA CRUZ;;;;;;;;;;;;;;;;;6,77;5,49;8,44;5,27;6,97;6,74;8,46;5,65;4,76;6,01
CPFL SUL PAULISTA;;;;;;;;;;;;;;;;;9,09;9,21;9,08;10,9;9,08;9,69;11,51;15,19;8,2;
DMED;9,25;9,4;7,25;7,38;16,88;14,95;10,41;7,56;6,32;5,86;4,37;8,97;5,81;3,26;3,15;5,45;3,5;3,12;4,09;3,32;3,94;2,11;1,2;2,99;2,43;6,03
ELETROACRE;;;;102,9;89,49;103,82;66,59;64,08;35,53;17,63;20,87;16,23;14,09;12,45;16,62;15,29;36,75;45,05;46,23;65,94;71,99;63,68;56,38;58,93;47,89;43,8
ENERGISA BO;;8,34;15,74;14;15,84;12,24;13,34;15,54;12,88;10,03;12,2;18,82;21,71;14,39;13,64;16,02;14,97;13,58;14,65;9,15;9,06;8,23;5,53;4,94;4,02;6,18
ENERGISA BR;20,45;15,08;13,68;;13,57;14,24;13,98;8,22;9,37;12,82;6,42;7,29;7,58;8,55;11,44;11,6;11,23;11,43;12,32;14,43;13,36;11,36;15,37;10,8;;
ENERGISA CI;;;;9,52;7,54;8,64;9,94;5,57;6,23;10,22;7,15;5,11;6,75;7,21;8,04;7,23;7,3;6,98;6,48;7,2;8,3;9,02;11,76;8,52;;
ENERGISA ELO;5,46;7,93;9,6;6,82;5,74;6,76;4,64;4,16;5,02;4,7;4,27;3,32;3,14;2,79;3,89;3,33;4,62;5,31;4,84;5,01;5,64;5,92;5,22;4,51;;
ENERGISA MG;19,68;9,01;12,45;12,11;9,26;8,42;10,62;8,7;10,5;11,96;9,3;9,45;9,71;10,92;12,16;15,67;19,01;12,54;9,8;10,15;9,8;9,45;10,18;10,35;8,43;9,43
ENERGISA NA;16,49;13,62;7,95;;9,44;7,47;7,61;5,8;5,95;5,27;4,67;7,29;4,17;6,76;7,97;8,04;7,3;8,22;8,58;7,38;8,68;6,82;7,78;6,44;;
ENERGISA NF;20,05;11,74;3,24;18,4;18,49;13,14;22,9;18,38;16,83;22,38;18,53;14,47;18,77;18,76;17,97;20,58;24,03;13,48;13,36;9,17;8,29;6,46;8,76;7,25;5,78;6,65
ENERGISA VP;;;;;16,17;11,35;14,78;8,01;8,08;10,14;10,17;6,61;7,82;7,9;7,29;6,33;7,14;6,2;4,85;5,88;5,88;6,43;7,05;6,65;;
IGUAÇU;;;;14,84;14;14,82;10,98;9,75;10,97;14,93;17,27;7,55;4,71;9,27;8,79;7,64;8,15;11,65;10,91;36,09;15,89;14,55;15,74;10,01;11,12;7,21
PANAMBI;;;;;9,45;18,66;16,83;12,86;9,97;12,97;11,27;11,76;6,33;11;27,8;17,61;8,43;10,89;8,33;17,09;5,39;6,73;5,99;7,62;7,22;5,22
RORAIMA ENERGIA;;;;;40,94;99,36;57,37;25,02;22,66;12,83;8,17;7,06;16,47;12,37;13,92;13,74;9,8;20,94;14,88;12,19;13,04;14,26;22,67;37,85;33,14;46,7
SANTA MARIA;16,67;14,63;17,83;;19,18;15,23;20,68;7,63;8,44;10,13;9,03;8,06;9,23;7,78;8,52;10,57;14,64;9,35;10,33;7,59;5,92;10,38;7,89;6,99;6,8;7,55
SULGIPE;40,6;44,64;38,42;23,66;30,53;45,71;37;24,31;16,19;19,93;14,41;13,78;19,76;21,21;19,73;21,52;17,72;13,76;15,45;16,99;11,55;12,23;11,3;13,7;9,78;7,93
BRASIL;26,09;25,33;24,33;26,09;27,19;24,05;19,85;16,87;16,11;18,01;16,37;15,81;16,75;16,04;16,14;16,65;18,77;18,42;18,61;18,78;18,49;18,03;18,6;15,81;14,35;12,53
