uf,acidentes_12,dummy
AC,1302,0.30798771121351765
AL,5104,0.2872257053291536
AM,659,0.21547799696509864
AP,639,0.27386541471048514
BA,23349,0.2799691635616086
CE,8496,0.3273305084745763
DF,3419,0.3597543141269377
ES,16597,0.2896306561426764
GO,17752,0.2911221270842722
MA,6731,0.2894072203238746
MG,54011,0.2601136805465553
MS,7738,0.2795295942103903
MT,9151,0.2381160528903945
PA,8879,0.27919810789503324
PB,8542,0.3344649964879419
PE,16042,0.29908988904126665
PI,5758,0.3007988885029524
PR,45225,0.30839137645107795
RJ,36834,0.2676060161807026
RN,8337,0.3095837831354204
RO,8469,0.2781910497107096
RR,661,0.2526475037821483
RS,30298,0.3364248465245231
SC,38662,0.3032952252858104
SE,3668,0.27753544165757904
SP,27805,0.2866750584427261
TO,2780,0.2251798561151079
